LEO ephemeris
Frame : TOD/1996 without EOP
Period : 2020-01-01T00:00:00.000 - 2020-01-01T12:00:00.000
                   date;Semi-Major Axis (km);Eccentricity (-);Inclination (Degrees);RA of Asc· Node (Degrees);Argument of Perigee (Degrees);True Anomaly (Degrees)
2020/01/01 03:05:00.000;     7003.05597;     0.00072833;       97.99856;       90.13285;      345.26354;      339.40449
2020/01/01 03:06:00.000;     7004.16304;     0.00088169;       97.99795;       90.13325;      342.52008;      345.85677
2020/01/01 03:07:00.000;     7005.19949;     0.00103116;       97.99739;       90.13358;      342.07423;      350.01180
2020/01/01 03:08:00.000;     7006.14757;     0.00117035;       97.99688;       90.13383;      342.96622;      352.82933
2020/01/01 03:09:00.000;     7006.99221;     0.00129536;       97.99644;       90.13402;      344.68037;      354.82500
2020/01/01 03:10:00.000;     7007.71874;     0.00140325;       97.99607;       90.13414;      346.92481;      356.29065
2020/01/01 03:11:00.000;     7008.31352;     0.00149169;       97.99577;       90.13422;      349.51685;      357.40889
2020/01/01 03:12:00.000;     7008.76652;     0.00155904;       97.99556;       90.13426;      352.33348;      358.30272
2020/01/01 03:13:00.000;     7009.07095;     0.00160428;       97.99543;       90.13428;      355.28944;      359.05733
2020/01/01 03:14:00.000;     7009.22253;     0.00162676;       97.99539;       90.13429;      358.32146;      359.73595
2020/01/01 03:15:00.000;     7009.21843;     0.00162608;       97.99543;       90.13429;        1.37879;        0.38929
2020/01/01 03:16:00.000;     7009.05656;     0.00160195;       97.99556;       90.13430;        4.40929;        1.06942
2020/01/01 03:17:00.000;     7008.73937;     0.00155472;       97.99577;       90.13432;        7.34981;        1.83947
2020/01/01 03:18:00.000;     7008.27492;     0.00148556;       97.99607;       90.13438;       10.13050;        2.76922
2020/01/01 03:19:00.000;     7007.67273;     0.00139592;       97.99643;       90.13448;       12.66755;        3.94245
2020/01/01 03:20:00.000;     7006.94335;     0.00128749;       97.99685;       90.13462;       14.83894;        5.48112
2020/01/01 03:21:00.000;     7006.10007;     0.00116262;       97.99733;       90.13482;       16.45992;        7.56993
2020/01/01 03:22:00.000;     7005.15706;     0.00102422;       97.99786;       90.13508;       17.23385;       10.50550
2020/01/01 03:23:00.000;     7004.12868;     0.00087622;       97.99843;       90.13541;       16.63783;       14.81067
2020/01/01 03:24:00.000;     7003.03175;     0.00072502;       97.99904;       90.13581;       13.70647;       21.45081
2020/01/01 03:25:00.000;     7001.88518;     0.00058215;       97.99968;       90.13630;        6.65584;       32.20980
2020/01/01 03:26:00.000;     7000.70706;     0.00046985;       98.00033;       90.13687;      352.68117;       49.89239
2020/01/01 03:27:00.000;     6999.51490;     0.00042605;       98.00099;       90.13752;      330.88771;       75.39329
2020/01/01 03:28:00.000;     6998.32842;     0.00047772;       98.00164;       90.13825;      309.05335;      100.93460
2020/01/01 03:29:00.000;     6997.16929;     0.00060302;       98.00228;       90.13907;      295.09639;      118.59797
2020/01/01 03:30:00.000;     6996.05872;     0.00076536;       98.00288;       90.13996;      288.19186;      129.20837
2020/01/01 03:31:00.000;     6995.01601;     0.00094246;       98.00345;       90.14092;      285.48796;      135.61759
2020/01/01 03:32:00.000;     6994.05873;     0.00112283;       98.00397;       90.14195;      285.17691;      139.63337
2020/01/01 03:33:00.000;     6993.20319;     0.00129989;       98.00444;       90.14305;      286.29423;      142.22021
2020/01/01 03:34:00.000;     6992.46293;     0.00146936;       98.00485;       90.14421;      288.31206;      143.90596
2020/01/01 03:35:00.000;     6991.84806;     0.00162839;       98.00519;       90.14543;      290.92702;      144.99398
2020/01/01 03:36:00.000;     6991.36727;     0.00177480;       98.00546;       90.14669;      293.96082;      145.66258
2020/01/01 03:37:00.000;     6991.02804;     0.00190677;       98.00566;       90.14800;      297.30226;      146.02295
2020/01/01 03:38:00.000;     6990.83557;     0.00202288;       98.00577;       90.14933;      300.87708;      146.14937
2020/01/01 03:39:00.000;     6990.79296;     0.00212199;       98.00579;       90.15068;      304.63483;      146.09229
2020/01/01 03:40:00.000;     6990.90135;     0.00220324;       98.00573;       90.15204;      308.54006;      145.88717
2020/01/01 03:41:00.000;     6991.15950;     0.00226603;       98.00559;       90.15340;      312.56589;      145.56090
2020/01/01 03:42:00.000;     6991.56352;     0.00231006;       98.00535;       90.15475;      316.69081;      145.13503
2020/01/01 03:43:00.000;     6992.10701;     0.00233533;       98.00503;       90.15606;      320.89703;      144.62733
2020/01/01 03:44:00.000;     6992.78135;     0.00234207;       98.00464;       90.15734;      325.16918;      144.05322
2020/01/01 03:45:00.000;     6993.57557;     0.00233079;       98.00417;       90.15858;      329.49252;      143.42746
2020/01/01 03:46:00.000;     6994.47723;     0.00230215;       98.00363;       90.15976;      333.85317;      142.76393
2020/01/01 03:47:00.000;     6995.47202;     0.00225697;       98.00303;       90.16088;      338.23479;      142.07901
2020/01/01 03:48:00.000;     6996.54259;     0.00219642;       98.00237;       90.16193;      342.61601;      141.39409
2020/01/01 03:49:00.000;     6997.67020;     0.00212192;       98.00168;       90.16289;      346.97405;      140.73198
2020/01/01 03:50:00.000;     6998.83648;     0.00203486;       98.00097;       90.16377;      351.28395;      140.11766
2020/01/01 03:51:00.000;     7000.02214;     0.00193675;       98.00023;       90.16456;      355.51226;      139.58461
2020/01/01 03:52:00.000;     7001.20717;     0.00182926;       97.99948;       90.16527;      359.61598;      139.17585
2020/01/01 03:53:00.000;     7002.37218;     0.00171410;       97.99874;       90.16588;        3.54129;      138.94523
2020/01/01 03:54:00.000;     7003.49869;     0.00159301;       97.99802;       90.16640;        7.21817;      138.96279
2020/01/01 03:55:00.000;     7004.56911;     0.00146776;       97.99733;       90.16684;       10.55158;      139.32359
2020/01/01 03:56:00.000;     7005.56599;     0.00134038;       97.99668;       90.16719;       13.40855;      140.16065
2020/01/01 03:57:00.000;     7006.47231;     0.00121334;       97.99608;       90.16747;       15.60696;      141.65610
2020/01/01 03:58:00.000;     7007.27308;     0.00108960;       97.99553;       90.16768;       16.90497;      144.05181
2020/01/01 03:59:00.000;     7007.95472;     0.00097292;       97.99505;       90.16783;       16.98364;      147.66675
2020/01/01 04:00:00.000;     7008.50480;     0.00086849;       97.99464;       90.16793;       15.46239;      152.88150
2020/01/01 04:01:00.000;     7008.91297;     0.00078312;       97.99431;       90.16799;       11.99898;      160.03835
2020/01/01 04:02:00.000;     7009.17107;     0.00072506;       97.99406;       90.16802;        6.53754;      169.19319
2020/01/01 04:03:00.000;     7009.27278;     0.00070215;       97.99391;       90.16803;      359.66321;      179.76090
2020/01/01 04:04:00.000;     7009.21389;     0.00071837;       97.99385;       90.16803;      352.66754;      190.44996
2020/01/01 04:05:00.000;     7008.99477;     0.00077105;       97.99388;       90.16803;      346.93422;      199.87668
2020/01/01 04:06:00.000;     7008.62235;     0.00085230;       97.99401;       90.16805;      343.18916;      207.31520
2020/01/01 04:07:00.000;     7008.10734;     0.00095329;       97.99423;       90.16810;      341.43267;      212.76521
2020/01/01 04:08:00.000;     7007.46109;     0.00106682;       97.99453;       90.16819;      341.32613;      216.56538
2020/01/01 04:09:00.000;     7006.69560;     0.00118761;       97.99492;       90.16833;      342.48168;      219.10359
2020/01/01 04:10:00.000;     7005.82341;     0.00131191;       97.99539;       90.16854;      344.57275;      220.70642
